,ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Type_of_order,Type_of_vehicle,Time_taken(min),prediction
36583,3E7C,MYSRES06DEL01,33,4.6,12.323994,76.626167,12.363994,76.666167,Buffet ,motorcycle ,28,27.875578
8672,7EC3,INDORES11DEL01,24,4.5,22.751234,75.88949,22.821234,75.95949,Buffet ,scooter ,27,27.11441
30585,DCDA,DEHRES20DEL03,30,4.8,0.0,0.0,0.06,0.06,Snack ,motorcycle ,27,26.934023
6262,9AE3,INDORES16DEL03,23,4.9,22.744648,75.894377,22.774648,75.924377,Buffet ,scooter ,25,24.99143
9877,5A7E,CHENRES20DEL03,36,4.1,12.975996,80.221898,13.065996,80.311898,Drinks ,scooter ,33,33.00212
36013,6782,HYDRES02DEL03,26,3.7,17.41233,78.449654,17.44233,78.479654,Buffet ,motorcycle ,42,41.9319
34442,DCE2,AURGRES04DEL02,32,4.7,19.876106,75.340775,19.956106,75.420775,Snack ,scooter ,28,28.055965
6623,897A,MUMRES14DEL03,31,3.8,19.1813,72.836191,19.2713,72.926191,Drinks ,scooter ,42,41.95218
9549,6EB8,INDORES16DEL03,34,4.5,22.744648,75.894377,22.774648,75.924377,Snack ,scooter ,19,19.090565
40257,B5D9,VADRES13DEL03,29,4.8,22.310237,73.158921,22.370237,73.218921,Snack ,scooter ,16,15.925627
11497,B6B5,BANGRES16DEL03,20,5.0,13.029198,77.570997,13.059198,77.600997,Drinks ,motorcycle ,24,23.939972
9647,191F,MUMRES16DEL01,24,5.0,19.120083,72.907385,19.130083,72.917385,Buffet ,motorcycle ,26,26.161663
28780,809C,COIMBRES16DEL01,38,4.4,11.010375,76.95295,11.020375,76.96295,Meal ,scooter ,33,32.79515
38073,6086,COIMBRES15DEL01,39,4.6,11.006686,76.951736,11.016686,76.961736,Snack ,motorcycle ,26,26.161663
1822,FAD,HYDRES03DEL03,34,4.7,17.422819,78.449578,17.452819,78.479578,Snack ,motorcycle ,29,29.048677
40186,7073,MYSRES20DEL03,39,4.5,12.337978,76.616792,12.397978,76.676792,Buffet ,scooter ,29,29.058903
18282,C989,ALHRES01DEL02,28,4.6,25.454648,81.834502,25.584648,81.964502,Snack ,motorcycle ,15,14.924431
43439,AEF3,BANGRES20DEL01,28,4.8,12.972161,77.596014,13.082161,77.706014,Snack ,scooter ,21,21.124123
39392,63C2,INDORES16DEL01,35,4.6,22.744648,75.894377,22.784648,75.934377,Drinks ,scooter ,25,24.99143
21198,C67,HYDRES07DEL03,34,4.1,17.424114,78.347554,17.484114,78.407554,Meal ,motorcycle ,32,32.336926
10504,699,COIMBRES13DEL01,29,4.6,11.003669,76.976494,11.013669,76.986494,Snack ,bicycle ,15,14.825814
38114,3ACF,HYDRES12DEL02,26,4.7,17.429585,78.392621,17.559585,78.522621,Snack ,scooter ,12,12.096799
24971,B1FA,COIMBRES01DEL01,32,4.8,11.016298,76.972076,11.086298,77.042076,Drinks ,motorcycle ,44,43.720245
27641,736D,HYDRES02DEL02,26,4.9,17.41233,78.449654,17.54233,78.579654,Buffet ,scooter ,18,17.995632
21268,22B3,BANGRES16DEL02,26,4.1,13.029198,77.570997,13.049198,77.590997,Meal ,motorcycle ,15,14.945256
38456,5F42,RANCHIRES16DEL02,33,4.3,23.371292,85.327872,23.451292,85.407872,Snack ,motorcycle ,38,38.21929
34506,B64F,MYSRES13DEL03,37,4.7,12.310972,76.659264,12.340972,76.689264,Meal ,motorcycle ,16,15.912927
3021,5293,JAPRES14DEL01,35,4.6,26.88842,75.800689,26.89842,75.810689,Snack ,scooter ,27,26.914352
31136,6C47,HYDRES14DEL02,26,4.7,17.426228,78.407495,17.506228,78.487495,Snack ,motorcycle ,23,22.902306
38193,188F,RANCHIRES17DEL01,30,4.5,23.374878,85.335739,23.384878,85.345739,Meal ,motorcycle ,21,21.103565
17024,DB97,DEHRES03DEL02,39,4.9,30.335259,78.053162,30.465259,78.183162,Buffet ,motorcycle ,36,35.9905
18042,CA4D,BHPRES12DEL01,32,4.8,0.0,0.0,0.01,0.01,Snack ,scooter ,24,23.913965
10480,BE65,INDORES08DEL01,39,4.9,22.725748,75.898497,22.795748,75.968497,Buffet ,motorcycle ,22,22.04425
19315,B1EA,BANGRES05DEL02,31,5.0,12.970324,77.645748,12.990324,77.665748,Snack ,scooter ,11,10.829355
15983,6B37,INDORES17DEL01,33,4.8,22.761226,75.887522,22.871226,75.997522,Buffet ,scooter ,20,19.850994
13849,3FEA,CHENRES03DEL01,23,4.7,13.091809,80.219104,13.131809,80.259104,Drinks ,motorcycle ,27,26.934023
28286,2540,INDORES07DEL01,37,4.6,22.722634,75.886959,22.762634,75.926959,Drinks ,motorcycle ,28,27.875578
24211,AB28,VADRES16DEL03,30,4.8,0.0,0.0,0.09,0.09,Meal ,scooter ,22,22.060421
24051,7332,HYDRES18DEL02,26,5.0,17.450851,78.379347,17.580851,78.509347,Buffet ,motorcycle ,40,40.19658
3391,314D,COIMBRES02DEL02,30,4.5,11.022477,76.995667,11.042477,77.015667,Meal ,scooter ,24,23.913965
19412,62FF,INDORES06DEL01,38,4.1,22.728163,75.884212,22.798163,75.954212,Drinks ,motorcycle ,40,40.19658
9654,8266,CHENRES09DEL02,26,4.5,13.044694,80.26147,13.094694,80.31147,Drinks ,motorcycle ,18,18.007782
1741,BE1A,PUNERES12DEL01,30,4.4,18.520016,73.830547,18.530016,73.840547,Buffet ,motorcycle ,23,22.921125
18523,366A,VADRES19DEL01,38,4.7,22.311844,73.165081,22.321844,73.175081,Buffet ,scooter ,26,26.144175
8721,3706,JAPRES11DEL02,33,4.5,26.90294,75.793007,26.92294,75.813007,Drinks ,scooter ,25,24.955198
38587,8099,HYDRES14DEL01,29,4.7,17.426228,78.407495,17.536228,78.517495,Buffet ,motorcycle ,29,29.115454
23400,1F19,COIMBRES18DEL02,20,5.0,11.02091,76.940432,11.10091,77.020432,Snack ,scooter ,27,27.11441
32365,8F83,RANCHIRES02DEL01,25,4.5,0.0,0.0,0.04,0.04,Meal ,scooter ,22,22.04991
13328,D5C,HYDRES16DEL02,29,4.6,17.440827,78.393391,17.570827,78.523391,Drinks ,motorcycle ,52,52.112175
7893,759B,BANGRES16DEL03,20,4.7,13.029198,77.570997,13.119198,77.660997,Meal ,scooter ,27,27.11441
4047,811C,MUMRES17DEL01,21,4.7,19.121999,72.908493,19.231999,73.018493,Drinks ,motorcycle ,15,14.924431
1554,AE85,PUNERES19DEL02,36,4.1,18.563934,73.915367,18.643935,73.995367,Buffet ,motorcycle ,51,51.12357
22171,339A,SURRES14DEL03,22,5.0,21.157729,72.768726,21.247729,72.858726,Drinks ,motorcycle ,12,12.230395
24799,5A23,RANCHIRES16DEL02,24,5.0,23.371292,85.327872,23.501292,85.457872,Snack ,scooter ,15,14.924707
11416,372A,RANCHIRES20DEL03,29,4.5,23.39925,85.390464,23.45925,85.450464,Snack ,scooter ,19,19.090565
28293,D736,KOCRES01DEL02,27,4.9,9.979363,76.285001,10.109363,76.415001,Snack ,motorcycle ,25,24.887524
36551,CD15,ALHRES01DEL01,29,4.6,25.454648,81.834502,25.564648,81.944502,Drinks ,motorcycle ,15,14.924431
15404,D96E,KNPRES18DEL02,23,4.9,26.474133,80.3481,26.524133,80.3981,Meal ,scooter ,10,10.082401
14766,494A,MUMRES08DEL02,35,4.5,19.065838,72.832658,19.145838,72.912658,Drinks ,scooter ,39,38.854927
2399,D1AE,ALHRES09DEL02,21,4.4,0.0,0.0,0.13,0.13,Snack ,scooter ,34,34.072105
